Date,Day,Cases,NewCases,D%Cases,ActiveCases,Deaths,NewDeaths,D%Deaths,MortalityRate,Tests,        NewTests,D%Tests,Recovered,NewRecovered,D%Recovered,Hospitalized,NewHospitalized,D%Hospitalized
2020-04-12,40.0,7519.0,671.0,1.097984813084112,5528.0,193.0,12.0,1.0662983425414365,0.025668306955712195,76506.0,10794.0,1.164262235208181,1798.0,59.0,1.0339275445658425,815.0,27.0,1.034263959390863
2020-04-13,41.0,9784.0,2265.0,1.3012368666046017,6926.0,216.0,23.0,1.1191709844559585,0.022076860179885527,87116.0,10610.0,1.1386819334431286,2642.0,844.0,1.4694104560622914,901.0,86.0,1.105521472392638
2020-04-14,42.0,10303.0,519.0,1.053045789043336,7204.0,230.0,14.0,1.0648148148148149,0.022323595069397264,109385.0,22269.0,1.2556246843289407,2869.0,227.0,1.0859197577592732,914.0,13.0,1.0144284128745837
2020-04-15,43.0,11475.0,1172.0,1.1137532757449287,8113.0,254.0,24.0,1.1043478260869566,0.02213507625272331,121468.0,12083.0,1.1104630433788911,3108.0,239.0,1.0833042872080865,1113.0,199.0,1.2177242888402626
2020-04-16,44.0,12491.0,1016.0,1.0885403050108933,6097.0,274.0,20.0,1.078740157480315,0.021935793771515492,121468.0,0.0,1.0,6120.0,3012.0,1.9691119691119692,1277.0,164.0,1.1473495058400718
2020-04-17,45.0,13489.0,998.0,1.0798975262188777,6648.0,300.0,26.0,1.094890510948905,0.022240343983986954,135895.0,14427.0,1.118772022261007,6541.0,421.0,1.0687908496732026,1219.0,-58.0,-1.047579983593109
2020-04-18,46.0,14420.0,931.0,1.069019200830306,7388.0,348.0,48.0,1.16,0.024133148404993063,143745.0,7850.0,1.057765186357114,6684.0,143.0,1.0218621005962392,1268.0,49.0,1.0401968826907302
2020-04-19,47.0,15628.0,1208.0,1.0837725381414702,8417.0,400.0,52.0,1.1494252873563218,0.025595085743537242,148011.0,4266.0,1.0296775540018783,6811.0,127.0,1.0190005984440456,1349.0,81.0,1.0638801261829653
2020-04-20,48.0,16325.0,697.0,1.0445994369081137,8912.0,445.0,45.0,1.1125,0.027258805513016845,155724.0,7713.0,1.052110991750613,6968.0,157.0,1.023050946997504,1682.0,333.0,1.2468495181616013
2020-04-21,49.0,17837.0,1512.0,1.0926186830015314,10371.0,484.0,39.0,1.0876404494382022,0.027134607837640858,170400.0,14676.0,1.0942436618632967,6982.0,14.0,1.0020091848450057,2419.0,737.0,1.4381688466111773
